Temperature Magnetisation
1.000000 2498.086000
1.100000 2496.024000
1.200000 2492.498000
1.300000 2486.752000
1.400000 2478.874000
1.500000 2466.366000
1.600000 2448.812000
1.700000 2425.432000
1.800000 2392.358000
1.900000 2347.460000
2.000000 2277.816000
2.100000 2162.462000
2.200000 1960.736000
2.300000 1160.578000
2.400000 580.284000
2.500000 331.760000
2.600000 234.454000
2.700000 201.318000
2.800000 173.636000
2.900000 142.734000
