Temperature Energy
1.000000 -4993.232000
1.100000 -4984.616000
1.200000 -4970.852000
1.300000 -4950.076000
1.400000 -4920.964000
1.500000 -4878.156000
1.600000 -4821.492000
1.700000 -4744.200000
1.800000 -4649.620000
1.900000 -4524.432000
2.000000 -4366.104000
2.100000 -4166.584000
2.200000 -3875.136000
2.300000 -3414.740000
2.400000 -3025.608000
2.500000 -2760.984000
2.600000 -2568.244000
2.700000 -2411.240000
2.800000 -2268.688000
2.900000 -2149.412000
